time_hours,time_days,soc,soh,capacity,current,temperature,total_ah_throughput,efc,current_dod,calendar_age_days,calendar_loss,cyclic_loss
522.6000000000503,21.775000000002095,0.5241666666667177,99.99999999611046,299.99999998833135,-100.0,25.0,57643.55000000418,95.6466666666736,0.36250000000008237,21.666666666668736,1.0481830556858826e-11,5.099710744867122e-11
523.6000000000505,21.81666666666877,0.3166666666666704,99.99999999611046,299.99999998833135,-50.0,25.0,57762.800000004194,95.6466666666736,0.36250000000008237,21.666666666668736,1.0471891757560602e-11,2.64361240625132e-11
524.6000000000507,21.858333333335448,0.36666666666668185,99.99999999611046,299.99999998833135,-100.0,25.0,57866.75000000421,95.6466666666736,0.36250000000008237,21.666666666668736,1.049388515340192e-11,3.347442483201771e-11
525.600000000051,21.900000000002123,0.3,99.99999999611046,299.99999998833135,165.5,25.0,57985.100000004226,95.6466666666736,0.36250000000008237,21.666666666668736,1.0501363371653591e-11,2.4093729732684764e-11
526.6000000000512,21.941666666668798,0.3166666666666704,99.99999999611046,299.99999998833135,-50.0,25.0,58094.35000000424,95.6466666666736,0.36250000000008237,21.666666666668736,1.0519202718940982e-11,2.64361240625132e-11
527.6000000000514,21.983333333335477,0.3833333333333523,99.99999999611046,299.99999998833135,-50.0,25.0,58199.90000000425,95.6466666666736,0.36250000000008237,21.666666666668736,1.0543286748503674e-11,3.5824228555027783e-11
528.6000000000516,22.02500000000215,0.3453333333333437,99.99999999611046,299.99999998833135,164.0,25.0,58313.70000000427,95.6466666666736,0.36250000000008237,21.666666666668736,1.0554297447360188e-11,3.0469377495886966e-11
529.6000000000519,22.066666666668826,0.3335000000000076,99.99999999611046,299.99999998833135,-100.0,25.0,58437.50000000429,95.6466666666736,0.36250000000008237,21.666666666668736,1.0568565535127339e-11,2.880382368090555e-11
530.6000000000521,22.108333333335505,0.3275000000000063,99.99999999580865,299.99999998742595,117.5,25.0,58551.90000000431,97.47175000000718,0.36250000000008237,22.0833333333355,1.0583554756010114e-11,2.8482417906378462e-11
531.6000000000523,22.15000000000218,0.3,99.99999999580865,299.99999998742595,144.5,25.0,58657.200000004326,97.47175000000718,0.36250000000008237,22.0833333333355,1.059583417943412e-11,2.4544194288431922e-11
