time_hours,time_days,soc,soh,capacity,current,temperature,total_ah_throughput,efc,current_dod,calendar_age_days,calendar_loss,cyclic_loss,isCharging,is_regenerating
304.60000000000076,12.691666666666698,0.42000000000002746,95.93310911200183,383.7324364480073,200.0,25.0,74584.00000000148,91.77000000000162,0.6000000000000001,12.499999999999988,4.807732788630056e-07,0.04112618220776882,False,False
305.600000000001,12.733333333333375,0.3400000000000091,95.93310911200183,383.7324364480073,-160.0,25.0,74800.0000000015,91.77000000000162,0.6000000000000001,12.499999999999988,5.002937576931274e-07,0.04338319281190314,False,True
306.6000000000012,12.77500000000005,0.3,95.93310911200183,383.7324364480073,200.0,25.0,75060.00000000154,91.77000000000162,0.6000000000000001,12.499999999999988,5.153270280177093e-07,0.04508871286328136,False,False
307.60000000000144,12.816666666666727,0.3,95.93310911200183,383.7324364480073,200.0,25.0,75300.00000000157,91.77000000000162,0.6000000000000001,12.499999999999988,5.166527074101458e-07,0.04508871286328136,False,False
308.60000000000167,12.858333333333404,0.30000000000000004,95.93310911200183,383.7324364480073,200.0,25.0,75560.00000000162,91.77000000000162,0.6000000000000001,12.499999999999988,5.179774777551803e-07,0.04508871286328135,False,False
309.6000000000019,12.900000000000079,0.3,95.93310911200183,383.7324364480073,200.0,25.0,75820.00000000166,91.77000000000162,0.6000000000000001,12.499999999999988,5.193013426188657e-07,0.04508871286328136,False,False
310.6000000000021,12.941666666666755,0.4900000000000433,95.7951641105129,383.1806564420516,-400.0,25.0,76096.00000000172,94.9200000000021,0.6000000000000001,12.91666666666675,4.821559540767636e-07,0.04177733239899065,True,False
311.60000000000235,12.983333333333432,0.3800000000000183,95.7951641105129,383.1806564420516,200.0,25.0,76332.00000000175,94.9200000000021,0.6000000000000001,12.91666666666675,4.972022458300962e-07,0.04347647136650989,False,False
312.6000000000026,13.025000000000107,0.5700000000000616,95.7951641105129,383.1806564420516,200.0,25.0,76608.0000000018,94.9200000000021,0.6000000000000001,12.91666666666675,4.892551495279354e-07,0.04244423069422232,False,False
313.6000000000028,13.066666666666784,0.35000000000001136,95.7951641105129,383.1806564420516,200.0,25.0,76828.00000000182,94.9200000000021,0.6000000000000001,12.91666666666675,5.075872865666127e-07,0.04446336500797545,False,False
