test_no,soc_percent,temperature,duration_days,capacity_loss_percent,final_soh
1,50.0,23,60,0.2068149943217626,99.79318500567824
2,50.0,40,60,0.46078246160824626,99.53921753839175
3,70.0,23,60,0.20768411191381245,99.7923158880862
4,70.0,40,60,0.4627199619855673,99.53728003801443
5,90.0,23,60,0.20816200103294474,99.79183799896705
6,90.0,40,60,0.4638273724069916,99.53617262759302
